Ch01: markers=27, answers=27
Ch02: markers=59, answers=59
Ch03: markers=38, answers=38
Ch04: markers=33, answers=33
Ch05: markers=21, answers=21
Ch06: markers=18, answers=18
Ch07: markers=17, answers=17
Ch08: markers=12, answers=12
Ch09: markers=23, answers=23
Ch10: markers=27, answers=27
Ch11: markers=19, answers=19
Ch12: markers=31, answers=31
Ch13: markers=14, answers=14
Ch14: markers=50, answers=50
Ch15: markers=21, answers=21
Ch16: markers=22, answers=22
Ch17: markers=39, answers=39
TOTAL: markers=471, answers=471
